y_over_delta,u,u_over_ubulk
5.7500000000000007e-01,1.0547302965086676e+00,1.0563251543581844e+00
5.7750000000000001e-01,1.0551557203222179e+00,1.0567512214551511e+00
5.7999999999999996e-01,1.0555811441357681e+00,1.0571772885521176e+00
5.8250000000000002e-01,1.0560040613532737e+00,1.0576008452628154e+00
5.8499999999999996e-01,1.0564166812032436e+00,1.0580140890353260e+00
5.8750000000000002e-01,1.0568293010532139e+00,1.0584273328078373e+00
5.8999999999999997e-01,1.0572419209031843e+00,1.0588405765803486e+00
5.9250000000000003e-01,1.0576545407531546e+00,1.0592538203528599e+00
5.9499999999999997e-01,1.0580552729506447e+00,1.0596551584975697e+00
5.9750000000000003e-01,1.0584555479307318e+00,1.0600560387335181e+00
5.9999999999999998e-01,1.0588558229108187e+00,1.0604569189694661e+00
6.0250000000000004e-01,1.0592560978909058e+00,1.0608577992054145e+00
6.0499999999999998e-01,1.0596479487628971e+00,1.0612502425951718e+00
6.0750000000000004e-01,1.0600366863775488e+00,1.0616395680200326e+00
6.0999999999999999e-01,1.0604254239922006e+00,1.0620288934448934e+00
6.1250000000000004e-01,1.0608141616068523e+00,1.0624182188697542e+00
6.1499999999999999e-01,1.0611972137307968e+00,1.0628018502068763e+00
6.1750000000000005e-01,1.0615745198800903e+00,1.0631797268808585e+00
6.2000000000000000e-01,1.0619518260293839e+00,1.0635576035548404e+00
6.2250000000000005e-01,1.0623291321786774e+00,1.0639354802288226e+00
6.2500000000000000e-01,1.0627032008765620e+00,1.0643101145560447e+00
6.2750000000000006e-01,1.0630682694595290e+00,1.0646757351592744e+00
6.3000000000000000e-01,1.0634333380424961e+00,1.0650413557625040e+00
6.3250000000000006e-01,1.0637984066254633e+00,1.0654069763657337e+00
6.3500000000000001e-01,1.0641631017739481e+00,1.0657722229698108e+00
6.3750000000000007e-01,1.0645164071707198e+00,1.0661260625997291e+00
6.4000000000000001e-01,1.0648697125674915e+00,1.0664799022296476e+00
6.4249999999999996e-01,1.0652230179642630e+00,1.0668337418595659e+00
6.4500000000000002e-01,1.0655763233610347e+00,1.0671875814894844e+00
6.4749999999999996e-01,1.0659209808334020e+00,1.0675327601184708e+00
6.5000000000000002e-01,1.0662634620069129e+00,1.0678757591578185e+00
6.5249999999999997e-01,1.0666059431804236e+00,1.0682187581971663e+00
6.5500000000000003e-01,1.0669484243539342e+00,1.0685617572365140e+00
6.5749999999999997e-01,1.0672848737429432e+00,1.0688987153706979e+00
6.6000000000000003e-01,1.0676167006428947e+00,1.0692310440261577e+00
6.6249999999999998e-01,1.0679485275428462e+00,1.0695633726816174e+00
6.6500000000000004e-01,1.0682803544427977e+00,1.0698957013370773e+00
6.6749999999999998e-01,1.0686086038197664e+00,1.0702244470599813e+00
6.7000000000000004e-01,1.0689296981507699e+00,1.0705460269177738e+00
6.7249999999999999e-01,1.0692507924817731e+00,1.0708676067755662e+00
6.7500000000000004e-01,1.0695718868127764e+00,1.0711891866333585e+00
6.7749999999999999e-01,1.0698918138238716e+00,1.0715095974061382e+00
6.8000000000000005e-01,1.0702012963936838e+00,1.0718195479445936e+00
6.8250000000000000e-01,1.0705107789634958e+00,1.0721294984830487e+00
6.8500000000000005e-01,1.0708202615333078e+00,1.0724394490215039e+00
6.8750000000000000e-01,1.0711297441031200e+00,1.0727493995599593e+00
6.9000000000000006e-01,1.0714294622607055e+00,1.0730495709214185e+00
6.9250000000000000e-01,1.0717276919408172e+00,1.0733482515546771e+00
6.9500000000000006e-01,1.0720259216209289e+00,1.0736469321879358e+00
6.9750000000000001e-01,1.0723241513010406e+00,1.0739456128211944e+00
7.0000000000000007e-01,1.0726158347768799e+00,1.0742377373516638e+00
7.0250000000000001e-01,1.0729037541852620e+00,1.0745260921230293e+00
7.0499999999999996e-01,1.0731916735936444e+00,1.0748144468943950e+00
7.0750000000000002e-01,1.0734795930020267e+00,1.0751028016657607e+00
7.0999999999999996e-01,1.0737634348514837e+00,1.0753870727125234e+00
7.1250000000000002e-01,1.0740412140146445e+00,1.0756652719056012e+00
7.1499999999999997e-01,1.0743189931778052e+00,1.0759434710986788e+00
7.1750000000000003e-01,1.0745967723409660e+00,1.0762216702917564e+00
7.1999999999999997e-01,1.0748728322481584e+00,1.0764981476291786e+00
7.2250000000000003e-01,1.0751404570557570e+00,1.0767661771122914e+00
7.2499999999999998e-01,1.0754080818633556e+00,1.0770342065954042e+00
7.2750000000000004e-01,1.0756757066709541e+00,1.0773022360785169e+00
