y_over_delta,u,v,pressure,temp,scalar_1,scalar_2,u_over_ubulk,y_plus,u_plus
2.0250000000000001e-01,9.3935984036899423e-01,-3.1349236900618120e-11,1.2714090380022839e-09,0.0000000000000000e+00,4.7039079378663569e-03,5.4149094258761310e-01,9.4078140309419311e-01,2.2599554027752697e+02,8.4169965230785962e+01
2.0500000000000002e-01,9.4074709601898598e-01,-3.2782920715403872e-11,1.2396881519912319e-09,0.0000000000000000e+00,4.6889391828529485e-03,5.4826952320550071e-01,9.4217075812169448e-01,2.2878560867601493e+02,8.4294268245251800e+01
2.0750000000000002e-01,9.4213435166897763e-01,-3.4216604530189631e-11,1.2079672659801799e-09,0.0000000000000000e+00,4.6739704278395411e-03,5.5504810382338843e-01,9.4356011314919586e-01,2.3157567707450292e+02,8.4418571259717638e+01
2.0999999999999999e-01,9.4352160731896928e-01,-3.5650288344975376e-11,1.1762463799691287e-09,0.0000000000000000e+00,4.6590016728261328e-03,5.6182668444127604e-01,9.4494946817669712e-01,2.3436574547299088e+02,8.4542874274183475e+01
2.1249999999999999e-01,9.4488492434547244e-01,-3.7011685510996452e-11,1.1475284894433295e-09,0.0000000000000000e+00,4.6440504521147547e-03,5.6861268965424272e-01,9.4631484835363977e-01,2.3715581387147887e+02,8.4665032303287873e+01
2.1500000000000000e-01,9.4620257384408979e-01,-3.8235181993220304e-11,1.1245393903047822e-09,0.0000000000000000e+00,4.6291326814564791e-03,5.7541285871012882e-01,9.4763449189259352e-01,2.3994588226996689e+02,8.4783098360318192e+01
2.1750000000000000e-01,9.4752022334270736e-01,-3.9458678475444156e-11,1.1015502911662350e-09,0.0000000000000000e+00,4.6142149107982044e-03,5.8221302776601513e-01,9.4895413543154761e-01,2.4273595066845488e+02,8.4901164417348511e+01
2.2000000000000000e-01,9.4883787284132470e-01,-4.0682174957667996e-11,1.0785611920276877e-09,0.0000000000000000e+00,4.5992971401399296e-03,5.8901319682190145e-01,9.5027377897050136e-01,2.4552601906694284e+02,8.5019230474378816e+01
2.2250000000000000e-01,9.5014874688706108e-01,-4.1585732030283826e-11,1.0566181261923805e-09,0.0000000000000000e+00,4.5843850545450107e-03,5.9581597745169379e-01,9.5158663680306865e-01,2.4831608746543083e+02,8.5136689426858865e+01
2.2500000000000001e-01,9.5140541730974948e-01,-3.9929773826034725e-11,1.0430433267829944e-09,0.0000000000000000e+00,4.5695184494569472e-03,6.0263965067273539e-01,9.5284520898454428e-01,2.5110615586391881e+02,8.5249291542936874e+01
2.2750000000000001e-01,9.5266208773243777e-01,-3.8273815621785617e-11,1.0294685273736085e-09,0.0000000000000000e+00,4.5546518443688828e-03,6.0946332389377678e-01,9.5410378116601968e-01,2.5389622426240683e+02,8.5361893659014854e+01
2.3000000000000001e-01,9.5391875815512606e-01,-3.6617857417536522e-11,1.0158937279642224e-09,0.0000000000000000e+00,4.5397852392808184e-03,6.1628699711481838e-01,9.5536235334749520e-01,2.5668629266089476e+02,8.5474495775092848e+01
2.3250000000000001e-01,9.5517542857781446e-01,-3.4961899213287415e-11,1.0023189285548368e-09,0.0000000000000000e+00,4.5249186341927549e-03,6.2311067033585987e-01,9.5662092552897082e-01,2.5947636105938278e+02,8.5587097891170842e+01
2.3500000000000001e-01,9.5638192626531904e-01,-3.7479752015033279e-11,9.7694150975974482e-10,0.0000000000000000e+00,4.5100999407037172e-03,6.2995818367890832e-01,9.5782924904728795e-01,2.6226642945787080e+02,8.5695204352661037e+01
2.3750000000000002e-01,9.5758147230879209e-01,-4.0575903932067299e-11,9.4992878827868061e-10,0.0000000000000000e+00,4.4952878855687621e-03,6.3680900017139142e-01,9.5903061040143245e-01,2.6505649785635876e+02,8.5802687922250499e+01
2.3999999999999999e-01,9.5878101835226537e-01,-4.3672055849101274e-11,9.2291606679761691e-10,0.0000000000000000e+00,4.4804758304338062e-03,6.4365981666387440e-01,9.6023197175557717e-01,2.6784656625484672e+02,8.5910171491839989e+01
2.4249999999999999e-01,9.5998056439573842e-01,-4.6768207766135280e-11,8.9590334531655291e-10,0.0000000000000000e+00,4.4656637752988511e-03,6.5051063315635749e-01,9.6143333310972168e-01,2.7063663465333474e+02,8.6017655061429465e+01
2.4500000000000000e-01,9.6114645916614183e-01,-4.4194501923662648e-11,8.4634107899408825e-10,0.0000000000000000e+00,4.4508876916792978e-03,6.5738080706388990e-01,9.6260099226526896e-01,2.7342670305182270e+02,8.6122123357890871e+01
2.4750000000000000e-01,9.6229387331936755e-01,-3.8507021737853951e-11,7.8439504624232793e-10,0.0000000000000000e+00,4.4361313629083668e-03,6.6426161168296560e-01,9.6375014283634064e-01,2.7621677145031072e+02,8.6224935725667194e+01
2.5000000000000000e-01,9.6344128747259328e-01,-3.2819541552045254e-11,7.2244901349056762e-10,0.0000000000000000e+00,4.4213750341374359e-03,6.7114241630204141e-01,9.6489929340741232e-01,2.7900683984879868e+02,8.6327748093443518e+01
2.5250000000000000e-01,9.6458870162581911e-01,-2.7132061366236554e-11,6.6050298073880741e-10,0.0000000000000000e+00,4.4066187053665058e-03,6.7802322092111722e-01,9.6604844397848411e-01,2.8179690824728669e+02,8.6430560461219841e+01
2.5500000000000000e-01,9.6571632115712891e-01,-2.1376001799781592e-11,6.2427719017786051e-10,0.0000000000000000e+00,4.3918857412636788e-03,6.8491763859724464e-01,9.6717776997181737e-01,2.8458697664577471e+02,8.6531599160837459e+01
