iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
310,1.6105100000000005e-03,2.1839654811981299e-03,1.9797811815487029e-04,2.1839654811981299e-03,1.1800393846438634e-05,1.5174483074266504e+01,1.0844452863292766e+00,1.7307219106417499e+01,1.0000000000000002e-10,4.7137931047403701e+00,1.5860188728328062e+01,3.5909221487720672e+04,1.1057130794077571e+02
320,1.6105100000000005e-03,2.1400736188739744e-03,1.7555932409558556e-04,2.1400736188739744e-03,1.0646400057653855e-05,1.5171044143888199e+01,1.0840176473831389e+00,1.7252905226189597e+01,1.0000000000000002e-10,4.5822157309010212e+00,1.5756464042083650e+01,3.5909221487735937e+04,1.0957382749769586e+02
330,1.6105100000000005e-03,2.0937622380221180e-03,1.5564217657451640e-04,2.0937622380221180e-03,9.7428890211987963e-06,1.5167631640708727e+01,1.0831624582686301e+00,1.7203786739405128e+01,1.0000000000000002e-10,4.4561231340794745e+00,1.5643686893769456e+01,3.5909221487748946e+04,1.0858229909996470e+02
340,1.6105100000000005e-03,2.0464946220091190e-03,1.3802438134625001e-04,2.0464946220091190e-03,9.0614847730710662e-06,1.5164261848084726e+01,1.0819297213178813e+00,1.7159076961984042e+01,1.0000000000000002e-10,4.3352870511970139e+00,1.5523168788351130e+01,3.5909221487372051e+04,1.0759955291651875e+02
350,1.6105100000000005e-03,1.9999301231678527e-03,1.2253585800848073e-04,1.9999301231678527e-03,8.5697148695913763e-06,1.5160949310083719e+01,1.0803662798485147e+00,1.7118218226134946e+01,1.0000000000000002e-10,4.2194586539372274e+00,1.5396177678162326e+01,3.5909221487472576e+04,1.0665646463517042e+02
360,1.6105100000000005e-03,1.9549130357091656e-03,1.0904414419489110e-04,1.9549130357091656e-03,8.2322467731732952e-06,1.5157707026371195e+01,1.0785156538719087e+00,1.7080888843784511e+01,1.0000000000000002e-10,4.1089163862627602e+00,1.5263997137290367e+01,3.5909221486994778e+04,1.0578088673954122e+02
370,1.6105100000000005e-03,1.9107839609085171e-03,9.7436934225841361e-05,1.9107839609085171e-03,8.0177065223111619e-06,1.5154546146713125e+01,1.0764169075964753e+00,1.7047074535927049e+01,1.0000000000000002e-10,4.0031297545775821e+00,1.5127767138587290e+01,3.5909221487028553e+04,1.0491474528971752e+02
380,1.6105100000000005e-03,1.8660677860171035e-03,8.7607469297952065e-05,1.8660677860171035e-03,7.9002550965005814e-06,1.5151475826775851e+01,1.0741053510267418e+00,1.7016524800751050e+01,1.0000000000000002e-10,3.9020582876002274e+00,1.4988249747343742e+01,3.5909221486933748e+04,1.0405936656759951e+02
390,1.6105100000000005e-03,1.8196965274860314e-03,7.9438602722386710e-05,1.8196965274860314e-03,7.8554337251088611e-06,1.5148504066153464e+01,1.0716136117746446e+00,1.6989446377024997e+01,1.0000000000000002e-10,3.8064224105320328e+00,1.4846376616355933e+01,3.5909221485595022e+04,1.0320315619541434e+02
400,1.6105100000000005e-03,1.7715093079215506e-03,7.2799040751072701e-05,1.7715093079215506e-03,7.8601595116322143e-06,1.5145637655746890e+01,1.0689711507405069e+00,1.6965789608736983e+01,1.0000000000000002e-10,3.7152995649982694e+00,1.4702906855875103e+01,3.5909221485701448e+04,1.0218860315551005e+02
410,1.6105100000000005e-03,1.7219722302167955e-03,6.7546748060714915e-05,1.7219722302167955e-03,7.8952611794283330e-06,1.5142882070936917e+01,1.0662038411300598e+00,1.6944963559208524e+01,1.0000000000000002e-10,3.6282955685489138e+00,1.4558429107125532e+01,3.5909221485153139e+04,1.0104966678772983e+02
420,1.6105100000000005e-03,1.6718002049231294e-03,6.3518496049608125e-05,1.6718002049231294e-03,7.9462157260028434e-06,1.5140241665879827e+01,1.0633350592555251e+00,1.6926833738919548e+01,1.0000000000000002e-10,3.5454091289455798e+00,1.4413450739608859e+01,3.5909221485332586e+04,9.9865007502422429e+01
430,1.6105100000000005e-03,1.6218646550222825e-03,6.0532415331433487e-05,1.6218646550222825e-03,7.9989414246757613e-06,1.5137720025454959e+01,1.0603865032694286e+00,1.6910857303740528e+01,1.0000000000000002e-10,3.4663524207065515e+00,1.4268411317660664e+01,3.5909221482848356e+04,9.8759994551642890e+01
440,1.6105100000000005e-03,1.5730884891817655e-03,5.8409058038971066e-05,1.5730884891817655e-03,8.0428501341492280e-06,1.5135320059954685e+01,1.0573778275875112e+00,1.6896619614222331e+01,1.0000000000000002e-10,3.3919617016422627e+00,1.4123689606555439e+01,3.5909221483067297e+04,9.8836006090013186e+01
450,1.6105100000000005e-03,1.4982379943403786e-03,5.0322447736127244e-05,1.4982379943403786e-03,7.3259626071215944e-06,1.5133314552590996e+01,1.0546510516793293e+00,1.6885335641477358e+01,1.0000000000000002e-10,3.3222891222719131e+00,1.3982048321409724e+01,3.5909221483253117e+04,9.8729091528445608e+01
